time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1577668500,28300,28300,28283,28283,28312,NaN,NaN,NaN,NaN,28291.5,10,5.25,15.618411980308814
1577668800,28299,28302,28296,28296,28312,NaN,NaN,NaN,NaN,28298.25,4,5.35,15.909383346615527
1577669100,28283,28283,28280,28280,28306.2,NaN,NaN,NaN,NaN,28281.5,2,5.35,17.14113952668086
1577669400,28251,28284,28250,28271,28302,NaN,NaN,NaN,NaN,28264,10,5.75,19.492366971394897
1577669700,28252,28300,28252,28260,28250,28250,28250,NaN,NaN,28266,13,5.25,20.316274340408054
1577670000,28259,28303,28259,28300,28250,NaN,NaN,NaN,NaN,28280.25,14,5.9,20.847638875759753
1577670300,28313,28350,28305,28350,28252,NaN,NaN,NaN,NaN,28329.5,6,6.15,20.08084781297707
1577670600,28359,28382,28350,28350,28259,NaN,NaN,NaN,NaN,28360.25,4,6.1,20.515106250383152
1577670900,28362,28374,28357,28374,28278.68,NaN,NaN,NaN,NaN,28366.75,8,6.4,20.918346227974514
1577671200,28383,28395,28378,28378,28295.2112,NaN,NaN,NaN,NaN,28383.5,6,5.7,21.923720533639116
1577671500,28365,28375,28365,28374,28313.173184000003,NaN,NaN,NaN,NaN,28369.75,6,5.2,22.145092836326995
1577671800,28361,28389,28355,28355,28327.902010880003,NaN,NaN,NaN,NaN,28365,9,5.6,22.773210803689135
1577672100,28361,28361,28360,28360,28339.979648921602,NaN,NaN,NaN,NaN,28360.5,2,5.6,23.35646320195398
1577672400,28379,28408,28379,28379,28349.883312115715,NaN,NaN,NaN,NaN,28386.25,8,5.95,25.057335299718396
1577672700,28380,28428,28380,28428,28360,NaN,NaN,NaN,NaN,28404,6,6.15,27.003611631681046
1577673000,28414,28430,28414,28416,28373.6,NaN,NaN,NaN,NaN,28418.5,7,6.35,28.846168856922066
1577673300,28406,28445,28404,28430,28380,NaN,NaN,NaN,NaN,28421.25,9,6.75,30.817489586309023
1577673600,28419,28422,28418,28418,28393,NaN,NaN,NaN,NaN,28419.25,3,6.85,32.648001692168336
1577673900,28422,28425,28410,28411,28403.4,NaN,NaN,NaN,NaN,28417,5,6.8,33.83829756834636
1577674200,28420,28420,28410,28410,28445,NaN,NaN,28445,28445,28415,3,6.75,34.943572310511684
1577674500,28429,28438,28429,28438,28441.5,NaN,NaN,NaN,NaN,28433.5,4,6.45,36.354837642541106
1577674800,28428,28442,28425,28435,28410,28410,28410,NaN,NaN,28432.5,9,6.7,37.665298307997
1577675400,28440,28468,28440,28468,28413.2,NaN,NaN,NaN,NaN,28454,10,7.1,39.37132296778
1577675700,28467,28467,28450,28456,28419.776,NaN,NaN,NaN,NaN,28460,6,6.9,40.9554887232928
1577676000,28457,28463,28457,28463,28425.56288,NaN,NaN,NaN,NaN,28460,3,6.4,42.42649978198326
1577676300,28480,28500,28476,28499,28430.655334400002,NaN,NaN,NaN,NaN,28488.75,18,6.6,44.37413062145958
1577676600,28510,28510,28488,28489,28440.363587584,NaN,NaN,NaN,NaN,28499.25,8,6.7,46.30834466589247
1577676900,28490,28493,28480,28480,28451.50541357056,NaN,NaN,NaN,NaN,28485.75,5,6.75,47.5209340876325
1577677200,28480,28480,28480,28480,28460.864547399273,NaN,NaN,NaN,NaN,28480,2,6.45,48.64690997924824
1577677500,28474,28474,28467,28467,28510,NaN,NaN,28510,28510,28470.5,6,6.45,48.731519221414885
1577677800,28466,28466,28466,28466,28505.7,NaN,NaN,NaN,NaN,28466,2,6.25,48.73753432500179
