time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1574659500,27110,27113,27110,27113,27179.487999999998,NaN,NaN,NaN,NaN,27111.5,5,4.75
1574660700,27140,27157,27140,27157,27169.70944,NaN,NaN,NaN,NaN,27148.5,4,4.85
1574662200,27131,27131,27125,27125,27161.1043072,NaN,NaN,NaN,NaN,27128,5,4.65
1574663100,27111,27111,27111,27111,27157,NaN,NaN,NaN,NaN,27111,2,3.6
1574663400,27112,27112,27112,27112,27149.92,NaN,NaN,NaN,NaN,27112,1,3.1
1574664900,27133,27133,27133,27133,27143.689599999998,NaN,NaN,NaN,NaN,27133,6,3.25
1574666100,27112,27114,27109,27109,27138.206847999998,NaN,NaN,NaN,NaN,27111,57,6
1574666400,27093,27093,27071,27071,27133.382026239997,NaN,NaN,NaN,NaN,27082,4,6.1
1574666700,27035,27081,27020,27080,27124.648542566396,NaN,NaN,NaN,NaN,27054,24,7.05
1574668800,27087,27087,27084,27084,27107.90477575577,NaN,NaN,NaN,NaN,27085.5,89,11.4
1574669400,27102,27102,27102,27102,27020,27020,27020,NaN,NaN,27102,2,11.45
1574676000,27101,27101,27101,27101,27028.2,NaN,NaN,NaN,NaN,27101,1,11.3
1574681100,27077,27077,27077,27077,27035.58,NaN,NaN,NaN,NaN,27077,2,11.05
1574685000,27072,27072,27072,27072,27042.222,NaN,NaN,NaN,NaN,27072,1,11.05
1574685300,27070,27070,27069,27069,27048.199800000002,NaN,NaN,NaN,NaN,27069.5,3,11.1
1574685600,27074,27074,27074,27074,27053.579820000003,NaN,NaN,NaN,NaN,27074,1,10.85
1574686500,27074,27074,27074,27074,27058.421838000002,NaN,NaN,NaN,NaN,27074,1,10.75
1574687100,27064,27064,27064,27064,27062.779654200003,NaN,NaN,NaN,NaN,27064,1,10.65
1574689500,27086,27086,27086,27086,27064,NaN,NaN,NaN,NaN,27086,1,10.65
1574690700,27076,27076,27076,27076,27064,NaN,NaN,NaN,NaN,27076,1,10.55
1574692200,27094,27094,27094,27094,27067.8,NaN,NaN,NaN,NaN,27094,1,10.35
1574693100,27115,27115,27115,27115,27071.22,NaN,NaN,NaN,NaN,27115,1,10.2
1574694600,27150,27150,27150,27150,27076.4736,NaN,NaN,NaN,NaN,27150,9,10.4
1574695800,27169,27169,27169,27169,27086.767296,NaN,NaN,NaN,NaN,27169,1,10.35
1574697000,27155,27155,27155,27155,27099.92452864,NaN,NaN,NaN,NaN,27155,10,10.8
1574697300,27153,27153,27153,27153,27110.9766040576,NaN,NaN,NaN,NaN,27153,2,10.6
1574700000,27146,27146,27146,27146,27120.260347408384,NaN,NaN,NaN,NaN,27146,1,7.8
1574730900,27269,27269,27269,27269,27128.058691823044,NaN,NaN,NaN,NaN,27269,1,7.65
1574731200,27293,27293,27293,27293,27146,NaN,NaN,NaN,NaN,27293,4,6.65
1574731500,27290,27305,27290,27305,27175.4,NaN,NaN,NaN,NaN,27297.5,6,2.5
1574731800,27200,27219,27200,27219,27305,NaN,NaN,27305,27305,27209.5,3,2.55
1574732400,27210,27210,27210,27210,27305,NaN,NaN,NaN,NaN,27210,2,2.6
1574732700,27255,27329,27255,27271,27200,27200,27200,NaN,NaN,27277.5,16,3.3
1574733000,27181,27181,27181,27181,27329,NaN,NaN,27329,27329,27181,2,3.35
1574733300,27200,27200,27200,27200,27329,NaN,NaN,NaN,NaN,27200,1,3.25
1574733600,27179,27179,27162,27162,27314.2,NaN,NaN,NaN,NaN,27170.5,21,4.25
1574733900,27120,27120,27120,27120,27295.936,NaN,NaN,NaN,NaN,27120,1,4.25
1574734200,27105,27105,27105,27105,27271.30496,NaN,NaN,NaN,NaN,27105,1,4.25
1574734500,27084,27084,27084,27084,27244.6961664,NaN,NaN,NaN,NaN,27084,1,4.25
1574736300,27040,27040,27040,27040,27215.770856448,NaN,NaN,NaN,NaN,27040,1,4.25
1574737200,27089,27089,27089,27089,27180.616685158402,NaN,NaN,NaN,NaN,27089,1,4.25
1574737500,27040,27089,27040,27089,27152.49334812672,NaN,NaN,NaN,NaN,27064.5,2,4.3
1574746500,27072,27072,27072,27072,27129.994678501378,NaN,NaN,NaN,NaN,27072,5,4.1
1574747700,27060,27060,27060,27060,27111.995742801104,NaN,NaN,NaN,NaN,27060,1,4.1
1574748000,27075,27080,27075,27080,27097.596594240884,NaN,NaN,NaN,NaN,27077.5,49,6.05
1574749800,27062,27062,27030,27030,27086.07727539271,NaN,NaN,NaN,NaN,27046,21,7
1574752800,27057,27057,27055,27057,27080,NaN,NaN,NaN,NaN,27056.5,9,7.4
1574753400,27079,27082,27079,27082,27030,27030,27030,NaN,NaN,27080.5,8,7.75
1574755200,27040,27040,27027,27027,27082,NaN,NaN,27082,27082,27033.5,12,8.15
1574759700,27009,27011,27009,27011,27082,NaN,NaN,NaN,NaN,27010,2,7.95
1574760000,27024,27024,27024,27024,27073.24,NaN,NaN,NaN,NaN,27024,1,7.85
1574769900,27060,27060,27060,27060,27065.5312,NaN,NaN,NaN,NaN,27060,1,7.8
1574778000,27079,27079,27079,27079,27009,27009,27009,NaN,NaN,27079,1,7.05
1574786100,27010,27010,27010,27010,27079,NaN,NaN,27079,27079,27010,1,7
1574794500,27001,27001,27001,27001,27079,NaN,NaN,NaN,NaN,27001,1,7
1574818800,26967,26978,26967,26978,27069.64,NaN,NaN,NaN,NaN,26972.5,2,6.05
1574819400,27099,27099,27099,27099,26967,26967,26967,NaN,NaN,27099,1,6.05
1574820600,27041,27041,27041,27041,26967,NaN,NaN,NaN,NaN,27041,1,6.05
1574822400,27050,27050,27040,27040,26980.2,NaN,NaN,NaN,NaN,27045,2,6.1
