time,open,high,low,close,MA,MA,Volume,Volume MA,HKEX:HSI2!: Compare,HKEX:HSI1!: Compare,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1578031200,28470,28470,28470,28470,28485.796936013583,28483.777777777777,1,6.35,NaN,NaN,28507.762567851707,NaN,0.01622026829042056,25.554635676857924,28.813312528755112,50.20528350436544
1578032700,28480,28480,28480,28480,28484.637548810868,28485.555555555555,1,5.1,NaN,NaN,28506.367316494674,NaN,0.02332187839333255,25.4589663939249,30.34067917993092,49.12808946062841
1578033300,28512,28512,28512,28512,28490.110039048694,28489.555555555555,1,4.85,NaN,NaN,28438,NaN,0.028894614724827572,24.85272697715459,35.0357820007528,45.81681067276903
1578033600,28503,28503,28503,28503,28492.688031238955,28492.222222222223,5,4.9,NaN,NaN,28439.48,NaN,0.03340279770262855,24.38116829888323,34.350347543241355,46.87684195684177
1578034200,28484,28486,28484,28485,28491.150424991163,28491,102,8.75,NaN,NaN,28440.9304,NaN,0.03684160636710121,24.148032864879955,32.91917957682852,49.09015761457559
1578034800,28499,28499,28499,28499,28492.72033999293,28489.777777777777,49,10.9,NaN,NaN,28442.351792,NaN,0.039721164434732836,23.71526056070764,34.79546909393271,47.55344627030688
1578035100,28500,28505,28500,28505,28495.176271994344,28490.11111111111,3,10.95,NaN,NaN,28443.744756160002,NaN,0.04214985950596106,23.206767195725526,35.703467389143725,46.89124615100766
1578035400,28490,28493,28490,28493,28494.741017595476,28491.555555555555,4,10.9,NaN,NaN,28445.109861036803,NaN,0.04363591377694265,22.847886236579566,34.44133856921617,47.59031349611905
1578036900,28504,28504,28504,28504,28496.59281407638,28494.555555555555,1,10.9,NaN,NaN,28446.447663816067,NaN,0.04437097517838828,22.32017594814794,36.182780461593374,46.32616679475595
1578037500,28480,28480,28475,28475,28492.274251261104,28495.11111111111,2,10.9,NaN,NaN,28447.758710539747,NaN,0.04424728523562793,22.178514283472612,33.698656818190386,50.011136175114714
1578037800,28477,28477,28477,28477,28489.219401008882,28494.777777777777,2,10.3,NaN,NaN,28449.04353632895,NaN,0.043419140501965714,22.043935702031046,33.53153502037289,49.76311587467445
1578038100,28450,28450,28445,28445,28480.375520807105,28487.333333333332,17,10.95,NaN,NaN,28512,NaN,0.04179112902789606,22.28297463782881,30.946708781815175,53.635697793504875
1578038400,28430,28430,28410,28410,28466.300416645685,28477,20,11.8,NaN,NaN,28510.66,NaN,0.03923757567506958,22.8575119361959,28.424050926728345,57.41513915450553
1578038700,28445,28445,28445,28445,28462.04033331655,28472.555555555555,5,11.8,NaN,NaN,28506.6336,NaN,0.03598129971324693,23.12854518758679,29.564634760690232,52.87787299836732
1578039000,28415,28415,28400,28400,28449.63226665324,28461.555555555555,12,12.35,NaN,NaN,28502.768256,NaN,0.03178344791592069,23.797825031115327,26.708146474336097,57.43073843701729
1578039300,28409,28420,28409,28420,28443.70581332259,28452.11111111111,6,12,NaN,NaN,28496.60216064,NaN,0.027723051951824562,24.343182112987854,26.6342746458186,54.94704413726392
1578039600,28405,28405,28405,28405,28435.964650658072,28442.333333333332,1,12,NaN,NaN,28490.8060310016,NaN,0.023816304904819563,24.897304274457152,25.754944393485502,54.01336782026313
1578039900,28410,28427,28402,28422,28433.171720526458,28433.222222222223,8,12.15,NaN,NaN,28485.357669141504,NaN,0.02001477254285844,25.01703421896815,29.162852642337405,51.05614334758256
1578042900,28397,28397,28354,28354,28417.337376421165,28419.777777777777,4,12.3,NaN,NaN,28480.236208993014,NaN,0.015543143830498707,25.571451918211917,25.21086104963171,53.703026494006956
1578043200,28345,28354,28345,28346,28403.069901136932,28405.222222222223,14,12.9,NaN,NaN,28470.13731227357,NaN,0.01055727998802436,26.17279513360112,24.743706317517358,54.560904779612486
1578043800,28361,28361,28361,28361,28394.655920909547,28395.88888888889,1,12.9,NaN,NaN,28457.623581046213,NaN,0.005469384082902318,26.61493134497214,25.433952065860545,52.84305135333713
1578044100,28372,28372,28372,28372,28390.124736727637,28391.666666666668,1,12.9,NaN,NaN,28446.361222941592,NaN,0.0006907537706046796,26.831667689715495,27.203223682361255,51.58921380288351
